month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment,year,day,quarters,Time Period,Fare Evasion
01,Queens,1,Local,Q110,Peak,"3,800","6,468",58.75077%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q110,Off-Peak,"2,947","3,881",75.93404%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q110,Peak,"1,043","1,530",68.169934%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q111,Off-Peak,"11,499","15,850",72.548896%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q111,Peak,"4,563","7,990",57.108885%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q111,Off-Peak,"5,031","6,376",78.90527%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q111,Peak,"1,927","2,670",72.172284%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q112,Off-Peak,"5,768","7,567",76.225716%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q112,Peak,"3,208","5,340",60.07491%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q112,Off-Peak,"1,950","2,660",73.30827%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q112,Peak,916,"1,224",74.8366%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q113,Off-Peak,"4,020","5,485",73.290795%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q113,Peak,"2,181","3,711",58.77122%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q113,Off-Peak,"1,447","1,803",80.25513%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q113,Peak,524,767,68.31812%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q114,Off-Peak,"6,398","10,601",60.352796%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q114,Peak,"1,768","4,418",40.018108%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q114,Off-Peak,"2,807","4,586",61.20802%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q114,Peak,825,"1,497",55.11022%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q12,Off-Peak,"12,240","14,173",86.36139%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q12,Peak,"4,494","5,840",76.95205%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q12,Off-Peak,"5,064","6,194",81.75654%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q12,Peak,"1,901","2,382",79.80688%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q13,Off-Peak,"8,792","11,002",79.912746%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q13,Peak,"3,212","4,797",66.958517%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q13,Off-Peak,"3,565","4,513",78.99402%,2019,01,Q1,2019-Q1,25%
